"","Olig","astrocytes","eNeuron","endo_mural","iNeuron","microglia"
"0",0.0617604072766787,0.23555715123475,0.0217457065826135,0.647365072148887,0.0059402444261217,0.0276314183309481
"1",0.0640278749278415,0.228980223308865,0.0171703201641393,0.232099032076999,0.057088263649688,0.400634285872467
"2",0.0851992295140343,0.424142527311754,0.0146515857525637,0.275948215584638,0.0128237800610878,0.187234661775922
"3",0.0692814704507802,0.259676767458002,0.0231247559477037,0.141300383177386,0.0370815917984724,0.469535031167656
"7",0.0656271071535216,0.0534297172409192,0.138377531949805,0.230541304038743,0.165084125099745,0.346940214517266
"8",0.0559803307420563,0.170403286442819,0.0584192888108745,0.228210376546136,0.16574970183974,0.321237015618374
"9",0.0746481500319761,0.120468787566969,0.0611704922671839,0.171486550879524,0.191157753699889,0.381068265554458
"10",0.0665302695852181,0.108178284308644,0.113504797013708,0.104903281920388,0.3126023753672,0.294280991804842
"14",0.0605407198743448,0.0741387444299859,0.135312277628753,0.165263227862856,0.23726534851432,0.32747968168974
"15",0.0540465461699929,0.0831640944326639,0.129119553466391,0.218711757687079,0.160225378538021,0.354732669705852
"16",0.0650478830047959,0.0758698311338333,0.158327640008772,0.202184127447986,0.120794060545467,0.377776457859146
"17",0.0815785742112301,0.097896597668236,0.146928803986768,0.191147324432913,0.118592087294107,0.363856612406746
"21",0.0666446141572284,0.0791117626782165,0.107930589018934,0.242567393811157,0.111666119644556,0.392079520689908
"22",0.0554903141184715,0.087633533512234,0.165737503589761,0.21380317287688,0.176034499645266,0.301300976257387
"23",0.0651394949677533,0.104374753643949,0.103582473085575,0.203536956807332,0.131139065866311,0.392227255629079
"24",0.0752145530082567,0.135385918039613,0.205410146904119,0.232503708959126,0.204052834853907,0.147432838234979
"28",0.0821984376579075,0.167958142662019,0.109446171987756,0.224580058318895,0.0999439036270571,0.315873285746364
"29",0.0566807562698741,0.0912501615215063,0.13148467233903,0.253753688009223,0.151942871918384,0.314887849941982
"30",0.0671332083947302,0.0726338218987748,0.218141263946076,0.249305752750261,0.155452020776886,0.237333932233272
"31",0.0540231388960639,0.0630077115365469,0.231287827011808,0.298626134799563,0.103728998265632,0.249326189490387
"35",0.0567515170290895,0.0425891497286074,0.149495993277307,0.233265121635771,0.209674909777172,0.308223308552052
"36",0.0663698777442307,0.0933443165272029,0.191327075662642,0.234258525182088,0.114493757516134,0.300206447367703
